company_name,domain,employee_count,annual_revenue_estimate,funding_stage,tech_stack_tags
Apex Financial Technologies,apexfintech.com,466,73742400,Series C,"AWS, Node.js, DynamoDB"
MERIDIAN PAYMENTS GROUP,meridianpay.io,262,46084720,Series B,"On-prem, Java, Oracle"
Vaultline Digital Banking Inc.,vaultline.com,370,59368540,Public,"Azure, .NET, SQL Server"
ClearEdge Capital Systems,clearedgecap.com,184,26282100,Public,"On-prem, Java, Oracle"
Fintrust Solutions,fintrust.io,90,14493865,Private,"AWS, Scala, Spark, Delta Lake"
Novus Health Analytics,novushealth.com,593,142515000,Seed,"GCP, Go, Spanner"
BioSync Medical Systems,biosyncmed.com,343,63784680,Private,"Azure, .NET, SQL Server"
CarePoint Digital,carepointdigital.com,196,43295940,Series A,"GCP, Go, Spanner"
MedLattice Inc LLC,medlattice.com,553,129237680,Series C,"GCP, Java, BigQuery"
HELIX GENOMICS PLATFORM,helixgenomics.io,275,50268075,Private,"Multi-cloud, Python, Snowflake"
UrbanThread Retail,urbanthread.com,1188,185524800,Series B,"Azure, Python, Databricks"
Shopwise Commerce,shopwise.io,351,58314100,Series A,"AWS, React, MongoDB"
FreshCart Marketplace,freshcart.com,492,100177920,Growth,"Multi-cloud, Python, Snowflake"
Lumenaire Brands,lumenaire.com,216,42044000,Series A,"AWS, Node.js, DynamoDB"
TrueNorth Outdoor Co,truenorthoutdoor.com,204,26700000,Series A,"On-prem, Java, Oracle"
Forgewell Industries,forgewell.com,2089,457041900,Series A,"AWS, React, MongoDB"
Steelvine Manufacturing,steelvine.com,830,143607500,Series B,"GCP, Go, Spanner"
Precision Dynamics Corp,precisiondynamics.com,601,99691660,Series C,"GCP, Java, BigQuery"
Cascade Materials Group,cascadematerials.com,420,70510970,Seed,"AWS, Node.js, DynamoDB"
Ironclad Components,ironcladcomp.com,300,46848050,Series B,"AWS, Node.js, DynamoDB"
NEURALINK DATA SYSTEMS,neuralinkdata.com,769,182106000,Series A,"AWS, React, MongoDB"
CloudPeak Software,cloudpeak.io,391,69959200,Growth,"GCP, Java, BigQuery"
DataVista Analytics,datavista.com,208,33929250,Series C,"AWS, Scala, Spark, Delta Lake"
Quantum Edge Labs,quantumedgelabs.com,142,27048450,Series C,"AWS, React, MongoDB"
Synthetica AI,synthetica.ai,109,15181255,Series A,"AWS, Python, PostgreSQL"
